[yt-subtitles] Using cached video: KAD PORASTEM BIĆU KENGUR (2004) - domaći film (HD).mp4
[yt-subtitles] Extracting audio for transcription...
[yt-subtitles] Found 206 speech chunk(s).
Model: openai_whisper-small
  Downloading.... done
Model path: /Users/dsa/.yt-subtitles/models/models/argmaxinc/whisperkit-coreml/openai_whisper-small
Loading model (cached)
Model ready (1.4s). Compute: Mel=CPU+GPU, AudioEnc=CPU+ANE, TextDec=CPU+ANE
Transcribing chunk 153/206 (6.8s)... ok, 839ms wall, 8.1x realtime
Transcribing chunk 154/206 (3.9s)... ok, 896ms wall, 4.4x realtime
Transcribing chunk 155/206 (3.1s)... ok, 496ms wall, 6.3x realtime
Transcribing chunk 156/206 (3.2s)... ok, 879ms wall, 3.6x realtime
Transcribing chunk 157/206 (4.2s)... ok, 599ms wall, 7.1x realtime
Transcribing chunk 158/206 (6.1s)... ok, 2.1s wall, 2.9x realtime
Transcribing chunk 159/206 (14.4s)... ok, 1.8s wall, 8.0x realtime
Transcribing chunk 160/206 (89.4s)... ok, 28.4s wall, 3.1x realtime
Transcribing chunk 161/206 (78.5s)... ok, 42.2s wall, 1.9x realtime
Transcribing chunk 162/206 (67.6s)... ok, 41.5s wall, 1.6x realtime
Transcribing chunk 163/206 (190.5s)... ok, 79.2s wall, 2.4x realtime
Transcribing chunk 164/206 (22.9s)... ok, 2.1s wall, 10.7x realtime
Transcribing chunk 165/206 (5.8s)... ok, 940ms wall, 6.2x realtime
Transcribing chunk 166/206 (17.4s)... ok, 6.3s wall, 2.8x realtime
Transcribing chunk 167/206 (5.6s)... ok, 541ms wall, 10.3x realtime
Transcribing chunk 168/206 (2.9s)... ok, 822ms wall, 3.5x realtime
Transcribing chunk 169/206 (22.3s)... ok, 2.7s wall, 8.2x realtime
Transcribing chunk 170/206 (4.7s)... ok, 636ms wall, 7.4x realtime
Transcribing chunk 171/206 (26.6s)... ok, 4.2s wall, 6.4x realtime
Transcribing chunk 172/206 (4.2s)... ok, 366ms wall, 11.5x realtime
Transcribing chunk 173/206 (17.4s)... ok, 2.8s wall, 6.3x realtime
Transcribing chunk 174/206 (53.2s)... ok, 24.7s wall, 2.2x realtime
Transcribing chunk 175/206 (2.5s)... ok, 359ms wall, 7.1x realtime
Transcribing chunk 176/206 (33.8s)... ok, 5.4s wall, 6.3x realtime
Transcribing chunk 177/206 (9.0s)... ok, 9.3s wall, 1.0x realtime
Transcribing chunk 178/206 (3.7s)... ok, 6.7s wall, 0.6x realtime
Transcribing chunk 179/206 (46.8s)... ok, 8.8s wall, 5.3x realtime
Transcribing chunk 180/206 (27.1s)... ok, 6.5s wall, 4.2x realtime
Transcribing chunk 181/206 (50.3s)... ok, 11.8s wall, 4.3x realtime
Transcribing chunk 182/206 (4.2s)... ok, 2.4s wall, 1.8x realtime
Transcribing chunk 183/206 (12.6s)... ok, 893ms wall, 14.1x realtime
Transcribing chunk 184/206 (17.5s)... ok, 1.3s wall, 13.8x realtime
Transcribing chunk 185/206 (4.3s)... ok, 416ms wall, 10.4x realtime
Transcribing chunk 186/206 (18.3s)... ok, 1.7s wall, 10.6x realtime
Transcribing chunk 187/206 (4.7s)... ok, 486ms wall, 9.6x realtime
Transcribing chunk 188/206 (3.5s)... ok, 301ms wall, 11.5x realtime
Transcribing chunk 189/206 (7.6s)... ok, 759ms wall, 9.9x realtime
Transcribing chunk 190/206 (4.8s)... ok, 362ms wall, 13.3x realtime
Transcribing chunk 191/206 (19.9s)... ok, 3.4s wall, 5.9x realtime
Transcribing chunk 192/206 (31.6s)... ok, 4.8s wall, 6.6x realtime
Transcribing chunk 193/206 (8.6s)... ok, 599ms wall, 14.4x realtime
Transcribing chunk 194/206 (5.4s)... ok, 716ms wall, 7.5x realtime
Transcribing chunk 195/206 (8.7s)... ok, 676ms wall, 12.9x realtime
Transcribing chunk 196/206 (18.9s)... ok, 1.2s wall, 16.1x realtime
Transcribing chunk 197/206 (3.4s)... ok, 431ms wall, 7.9x realtime
Transcribing chunk 198/206 (3.9s)... ok, 490ms wall, 8.0x realtime
Transcribing chunk 199/206 (14.6s)... ok, 20.6s wall, 0.7x realtime
Transcribing chunk 200/206 (5.9s)... ok, 451ms wall, 13.1x realtime
Transcribing chunk 201/206 (2.9s)... ok, 353ms wall, 8.2x realtime
Transcribing chunk 202/206 (7.9s)... ok, 367ms wall, 21.5x realtime
Transcribing chunk 203/206 (3.5s)... ok, 379ms wall, 9.1x realtime
Transcribing chunk 204/206 (52.6s)... ok, 16.4s wall, 3.2x realtime
Transcribing chunk 205/206 (175.6s)... ok, 61.9s wall, 2.8x realtime
Transcribing chunk 206/206 (7.0s)... ok, 1.3s wall, 5.5x realtime
[yt-subtitles] Muxing mp4...
[yt-subtitles] MP4: /Users/dsa/s4y/youtubesubtitles/KAD PORASTEM BIĆU KENGUR (2004) - domaći film (HD).small.mp4
